Source,Target,Weight
it,i,1

i,had,1

had,no,1

no,choice,1

choice,i,1

i,see,1

see,whats,1

whats,happening,1

happening,to,1

to,our,1

our,country,1

country,its,1

its,going,1

going,to,1

to,hell,1

hell,i,1

i,had,1

had,to,1

to,do,1

do,it,1

i,have,1

have,now,1

now,begun,1

begun,to,1

to,fill,1

fill,in,1

in,some,1

some,of,1

of,the,1

the,details,1

details,of,1

of,my,1

my,vision,1

vision,ive,1

ive,released,1

released,a,1

a,tax,1

tax,plan,1

plan,that,1

that,gives,1

gives,the,1

the,middle,1

middle,class,1

class,and,1

and,those,1

those,with,1

with,lower,1

lower,incomes,1

incomes,a,1

a,chance,1

chance,to,1

to,keep,1

keep,more,1

more,of,1

of,what,1

what,they,1

they,earn,1

earn,while,1

while,restructuring,1

restructuring,how,1

how,the,1

the,richest,1

richest,americans,1

americans,will,1

will,be,1

be,paying,1

paying,taxes,1

ive,committed,1

committed,to,1

to,a,1

a,truly,1

truly,more,1

more,powerful,1

powerful,military,1

military,one,1

one,prepared,1

prepared,and,1

and,equipped,1

equipped,to,1

to,stand,1

stand,up,1

up,to,1

to,any,1

any,and,1

and,all,1

all,of,1

of,our,1

our,foes,1

foes,when,1

when,we,1

we,draw,1

draw,a,1

a,line,1

line,in,1

in,the,1

the,sand,1

sand,it,1

it,needs,1

needs,to,1

to,mean,1

mean,something,1

something,to,1

to,allespecially,1

allespecially,our,1

our,enemies,1

ive,introduced,1

introduced,a,1

a,whole,1

whole,new,1

new,approach,1

approach,to,1

to,job,1

job,creation,1

creation,by,1

by,encouraging,1

encouraging,companies,1

companies,to,1

to,bring,1

bring,more,1

more,of,1

of,their,1

their,jobs,1

jobs,and,1

and,manufacturing,1

manufacturing,back,1

back,to,1

to,america,1

america,home,1

home,where,1

where,it,1

it,belongs,1

belongs,along,1

along,with,1

with,the,1

the,trillions,1

trillions,of,1

of,dollars,1

dollars,currently,1

currently,being,1

being,held,1

held,in,1

in,foreign,1

foreign,banks,1

banks,overseas,1

overseas,were,1

were,bringing,1

bringing,that,1

that,money,1

money,back,1

back,its,1

its,a,1

a,massive,1

massive,amount,1

amount,of,1

of,money,1

money,and,1

and,guess,1

guess,what,1

what,lots,1

lots,of,1

of,good,1

good,things,1

things,are,1

are,going,1

going,to,1

to,happen,1

happen,theyre,1

theyre,going,1

going,to,1

to,spend,1

spend,that,1

that,money,1

money,on,1

on,roads,1

roads,on,1

on,bridges,1

bridges,on,1

on,companies,1

companies,on,1

on,jobs,1

jobs,its,1

its,going,1

going,to,1

to,be,1

be,amazing,1

ive,explained,1

explained,why,1

why,obamacare,1

obamacare,is,1

is,a,1

a,costly,1

costly,ludicrous,1

ludicrous,solution,1

solution,to,1

to,our,1

our,health,1

health,care,1

care,woes,1

woes,and,1

and,one,1

one,which,1

which,must,1

must,be,1

be,repealed,1

repealed,and,1

and,replaced,1

replaced,with,1

with,a,1

a,much,1

much,better,1

better,option,1

option,we,1

we,need,1

need,to,1

to,fix,1

fix,the,1

the,problem,1

problem,by,1

by,creating,1

creating,competition,1

competition,in,1

in,the,1

the,private,1

private,sector,1

sector,between,1

between,insurance,1

insurance,companies,1

companies,and,1

and,by,1

by,allowing,1

allowing,patients,1

patients,to,1

to,choose,1

choose,the,1

the,family,1

family,doctors,1

doctors,they,1

they,want,1

want,this,1

this,will,1

will,be,1

be,a,1

a,much,1

much,better,1

better,plan,1

plan,a,1

a,much,1

much,less,1

less,costly,1

costly,planbetter,1

planbetter,doctors,1

doctors,better,1

better,service,1

service,it,1

it,will,1

will,be,1

be,something,1

something,really,1

really,special,1

special,and,1

and,think,1

think,of,1

of,it,1

it,the,1

the,united,1

united,states,1

states,will,1

will,save,1

save,a,1

a,fortune,1

fortune,as,1

as,a,1

a,country,1

country,people,1

people,will,1

will,be,1

be,better,1

better,served,1

served,a,1

a,combination,1

combination,that,1

that,cannot,1

cannot,be,1

be,beat,1

competition,is,1

is,a,1

a,magic,1

magic,word,1

word,in,1

in,education,1

education,as,1

as,well,1

well,parents,1

parents,should,1

should,have,1

have,the,1

the,right,1

right,to,1

to,choose,1

choose,the,1

the,schools,1

schools,where,1

where,their,1

their,kids,1

kids,can,1

can,get,1

get,the,1

the,best,1

best,education,1

education,the,1

the,weaker,1

weaker,schools,1

schools,will,1

will,be,1

be,closed,1

closed,and,1

and,ineffective,1

ineffective,teachers,1

teachers,will,1

will,be,1

be,fired,1

fired,one,1

one,size,1

size,fits,1

fits,all,1

all,educationcommon,1

educationcommon,coreis,1

coreis,bad,1

bad,its,1

its,not,1

not,going,1

going,to,1

to,happen,1

happen,we,1

we,dont,1

dont,want,1

want,our,1

our,children,1

children,to,1

to,be,1

be,educated,1

educated,from,1

from,washington,1

washington,we,1

we,want,1

want,local,1

local,eduction,1

eduction,education,1

education,should,1

should,be,1

be,locally,1

locally,based,1

domestically,we,1

we,need,1

need,to,1

to,undertake,1

undertake,a,1

a,massive,1

massive,rebuilding,1

rebuilding,of,1

of,our,1

our,infrastructure,1

infrastructure,too,1

too,many,1

many,bridges,1

bridges,have,1

have,become,1

become,dangerous,1

dangerous,our,1

our,roads,1

roads,are,1

are,decaying,1

decaying,and,1

and,full,1

full,of,1

of,potholes,1

potholes,while,1

while,traffic,1

traffic,jams,1

jams,are,1

are,costing,1

costing,millions,1

millions,in,1

in,lost,1

lost,income,1

income,for,1

for,drivers,1

drivers,who,1

who,have,1

have,jobs,1

jobs,in,1

in,congested,1

congested,cities,1

cities,public,1

public,transit,1

transit,is,1

is,overcrowded,1

overcrowded,and,1

and,unreliable,1

unreliable,and,1

and,our,1

our,airports,1

airports,must,1

must,be,1

be,rebuilt,1

rebuilt,you,1

you,go,1

go,to,1

to,countries,1

countries,like,1

like,china,1

china,and,1

and,many,1

many,others,1

others,and,1

and,you,1

you,look,1

look,at,1

at,their,1

their,train,1

train,systems,1

systems,and,1

and,their,1

their,public,1

public,transport,1

transport,its,1

its,so,1

so,much,1

much,better,1

better,were,1

were,like,1

like,a,1

a,third,1

third,world,1

world,country,1

i,could,1

could,go,1

go,on,1

on,and,1

and,on,1

on,regarding,1

regarding,many,1

many,of,1

of,the,1

the,ideas,1

ideas,ive,1

ive,written,1

written,about,1

about,in,1

in,this,1

this,book,1

book,and,1

and,more,1

more,that,1

that,will,1

will,be,1

be,forthcoming,1

forthcoming,but,1

but,let,1

let,me,1

me,add,1

add,that,1

that,while,1

while,my,1

my,critics,1

critics,are,1

are,pushing,1

pushing,their,1

their,policy,1

policy,agendas,1

agendas,the,1

the,last,1

last,thing,1

thing,we,1

we,need,1

need,are,1

are,more,1

more,plans,1

plans,that,1

that,evaporate,1

evaporate,after,1

after,the,1

the,elections,1

what,we,1

we,need,1

need,is,1

is,leadership,1

leadership,that,1

that,can,1

can,deal,1

deal,with,1

with,our,1

our,mess,1

mess,and,1

and,begin,1

begin,to,1

to,apply,1

apply,practical,1

practical,solutions,1

solutions,to,1

to,our,1

our,problems,1

problems,my,1

my,goal,1

goal,is,1

is,not,1

not,to,1

to,design,1

design,hundreds,1

hundreds,of,1

of,pages,1

pages,of,1

of,government,1

government,regulation,1

regulation,and,1

and,red,1

red,tape,1

tape,like,1

like,others,1

others,propose,1

propose,we,1

we,need,1

need,to,1

to,outline,1

outline,commonsense,1

commonsense,policies,1

policies,and,1

and,then,1

then,knock,1

knock,some,1

some,heads,1

heads,together,1

together,if,1

if,necessary,1

necessary,to,1

to,make,1

make,them,1

them,work,1

work,the,1

the,fact,1

fact,is,1

is,we,1

we,are,1

are,over,1

over,regulated,1

regulated,people,1

people,cant,1

cant,move,1

move,theyre,1

theyre,stymied,1

stymied,companies,1

companies,cant,1

cant,be,1

be,built,1

built,were,1

were,over,1

over,regulated,1

i,know,1

know,how,1

how,to,1

to,deal,1

deal,with,1

with,complex,1

complex,issues,1

issues,and,1

and,how,1

how,to,1

to,bring,1

bring,together,1

together,all,1

all,the,1

the,various,1

various,elements,1

elements,necessary,1

necessary,for,1

for,success,1

success,ive,1

ive,done,1

done,it,1

it,for,1

for,years,1

years,and,1

and,have,1

have,built,1

built,a,1

a,great,1

great,company,1

company,and,1

and,a,1

a,massive,1

massive,net,1

net,worth,1

this,book,1

book,is,1

is,designed,1

designed,to,1

to,give,1

give,the,1

the,reader,1

reader,a,1

a,better,1

better,understanding,1

understanding,of,1

of,me,1

me,and,1

and,my,1

my,ideas,1

ideas,for,1

for,our,1

our,future,1

future,im,1

im,a,1

a,really,1

really,nice,1

nice,guy,1

guy,believe,1

believe,me,1

me,i,1

i,pride,1

pride,myself,1

myself,on,1

on,being,1

being,a,1

a,nice,1

nice,guy,1

guy,but,1

but,im,1

im,also,1

also,passionate,1

passionate,and,1

and,determined,1

determined,to,1

to,make,1

make,our,1

our,country,1

country,great,1

great,again,1

its,time,1

time,we,1

we,turn,1

turn,america,1

america,around,1

around,from,1

from,despair,1

despair,and,1

and,anger,1

anger,to,1

to,joy,1

joy,and,1

and,accomplishment,1

accomplishment,it,1

it,can,1

can,happen,1

happen,and,1

and,it,1
